cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
3077,19200,11181.2,-1,11641.1,gcp_kvm_cxl_bpftime_node1,measured
3078,19200,11325.7,-1,11747.9,gcp_kvm_cxl_bpftime_node1,measured
3079,19200,11330.0,-1,11707.9,gcp_kvm_cxl_bpftime_node1,measured
3080,19200,11234.0,-1,11670.4,gcp_kvm_cxl_bpftime_node1,measured
3081,19200,10943.7,-1,11366.7,gcp_kvm_cxl_bpftime_node1,measured
3082,19200,11186.5,-1,11575.4,gcp_kvm_cxl_bpftime_node1,measured
3083,19200,11068.1,-1,11533.2,gcp_kvm_cxl_bpftime_node1,measured
3084,19200,10468.1,-1,10794.9,gcp_kvm_cxl_bpftime_node1,measured
3085,19200,10576.4,-1,10904.5,gcp_kvm_cxl_bpftime_node1,measured
3086,19200,10754.1,-1,11101.3,gcp_kvm_cxl_bpftime_node1,measured
3087,19200,10963.4,-1,11370.5,gcp_kvm_cxl_bpftime_node1,measured
3088,19200,10569.7,-1,10890.2,gcp_kvm_cxl_bpftime_node1,measured
3089,19200,11200.1,-1,11620.4,gcp_kvm_cxl_bpftime_node1,measured
3090,19200,11168.1,-1,11542.4,gcp_kvm_cxl_bpftime_node1,measured
3091,19200,11011.8,-1,11568.2,gcp_kvm_cxl_bpftime_node1,measured
3092,19200,10987.5,-1,11343.7,gcp_kvm_cxl_bpftime_node1,measured
3093,19200,10851.2,-1,11496.4,gcp_kvm_cxl_bpftime_node1,measured
3094,19200,11206.0,-1,11499.3,gcp_kvm_cxl_bpftime_node1,measured
3095,19200,10834.7,-1,11287.3,gcp_kvm_cxl_bpftime_node1,measured
3096,19200,10832.7,-1,11222.0,gcp_kvm_cxl_bpftime_node1,measured
3097,19200,11362.3,-1,11788.6,gcp_kvm_cxl_bpftime_node1,measured
3098,19200,11190.7,-1,11533.2,gcp_kvm_cxl_bpftime_node1,measured
3099,19200,11165.2,-1,11586.3,gcp_kvm_cxl_bpftime_node1,measured
3100,19200,10982.1,-1,11124.5,gcp_kvm_cxl_bpftime_node1,measured
3101,19200,11591.8,-1,12011.6,gcp_kvm_cxl_bpftime_node1,measured
3102,19200,10827.5,-1,11263.1,gcp_kvm_cxl_bpftime_node1,measured
3103,19200,10746.3,-1,11082.4,gcp_kvm_cxl_bpftime_node1,measured
3104,19200,11216.7,-1,11762.1,gcp_kvm_cxl_bpftime_node1,measured
3105,19200,11116.3,-1,11682.6,gcp_kvm_cxl_bpftime_node1,measured
3106,19200,10873.6,-1,11096.1,gcp_kvm_cxl_bpftime_node1,measured
3107,19200,10763.4,-1,11126.0,gcp_kvm_cxl_bpftime_node1,measured
3108,19200,10827.0,-1,11364.0,gcp_kvm_cxl_bpftime_node1,measured
3109,19200,11125.4,-1,11510.9,gcp_kvm_cxl_bpftime_node1,measured
